-3.02E-04,-4.00E-02,0
-3.02E-04,2.00E-02,4.00E-02
-3.02E-04,-2.00E-02,-4.00E-02
-3.01E-04,-2.00E-02,0
-3.01E-04,-2.00E-02,4.00E-02
-3.01E-04,-2.00E-02,0
-3.01E-04,-6.00E-02,0
-3.01E-04,-2.00E-02,-4.00E-02
-3.00E-04,-2.00E-02,4.00E-02
-3.00E-04,0,0
-3.00E-04,-2.00E-02,4.00E-02
-3.00E-04,-2.00E-02,4.00E-02
-3.00E-04,-2.00E-02,4.00E-02
-2.99E-04,-2.00E-02,4.00E-02
-2.99E-04,-2.00E-02,-4.00E-02
-2.99E-04,-2.00E-02,-4.00E-02
-2.99E-04,-4.00E-02,0
-2.99E-04,2.00E-02,4.00E-02
-2.98E-04,-2.00E-02,4.00E-02
-2.98E-04,-4.00E-02,0
-2.98E-04,-4.00E-02,4.00E-02
-2.98E-04,-2.00E-02,4.00E-02
-2.98E-04,-2.00E-02,4.00E-02
-2.97E-04,-2.00E-02,0
-2.97E-04,-2.00E-02,0
-2.97E-04,-4.00E-02,4.00E-02
-2.97E-04,0,0
-2.97E-04,-4.00E-02,4.00E-02
-2.96E-04,0,4.00E-02
-2.96E-04,-2.00E-02,4.00E-02
-2.96E-04,-2.00E-02,8.00E-02
-2.96E-04,-2.00E-02,4.00E-02
-2.96E-04,-2.00E-02,0
-2.95E-04,0,8.00E-02
-2.95E-04,-2.00E-02,8.00E-02
-2.95E-04,-2.00E-02,4.00E-02
-2.95E-04,-2.00E-02,0
-2.95E-04,-2.00E-02,4.00E-02
-2.94E-04,-2.00E-02,4.00E-02
-2.94E-04,-6.00E-02,4.00E-02
-2.94E-04,0,8.00E-02
-2.94E-04,-2.00E-02,4.00E-02
-2.94E-04,-4.00E-02,4.00E-02
-2.93E-04,-4.00E-02,4.00E-02
-2.93E-04,-2.00E-02,4.00E-02
-2.93E-04,-4.00E-02,8.00E-02
-2.93E-04,-4.00E-02,4.00E-02
-2.93E-04,-2.00E-02,4.00E-02
-2.92E-04,0,4.00E-02
-2.92E-04,-2.00E-02,8.00E-02
-2.92E-04,-2.00E-02,8.00E-02
-2.92E-04,-2.00E-02,8.00E-02
-2.92E-04,-4.00E-02,1.20E-01
-2.91E-04,0,8.00E-02
-2.91E-04,-2.00E-02,8.00E-02
-2.91E-04,-4.00E-02,4.00E-02
-2.91E-04,0,1.20E-01
-2.91E-04,-2.00E-02,4.00E-02
-2.90E-04,-2.00E-02,8.00E-02
-2.90E-04,-4.00E-02,8.00E-02
-2.90E-04,-2.00E-02,1.20E-01
-2.90E-04,-4.00E-02,8.00E-02
-2.90E-04,-4.00E-02,8.00E-02
-2.89E-04,-6.00E-02,8.00E-02
-2.89E-04,-2.00E-02,1.20E-01
-2.89E-04,-4.00E-02,8.00E-02
-2.89E-04,-4.00E-02,8.00E-02
-2.89E-04,-2.00E-02,1.20E-01
-2.88E-04,-4.00E-02,4.00E-02
-2.88E-04,-2.00E-02,1.20E-01
-2.88E-04,0,8.00E-02
-2.88E-04,0,8.00E-02
-2.88E-04,-2.00E-02,4.00E-02
-2.87E-04,-2.00E-02,8.00E-02
-2.87E-04,-2.00E-02,4.00E-02
-2.87E-04,-2.00E-02,8.00E-02
-2.87E-04,-2.00E-02,8.00E-02
-2.87E-04,-2.00E-02,4.00E-02
-2.86E-04,-4.00E-02,8.00E-02
-2.86E-04,0,1.20E-01
-2.86E-04,-2.00E-02,1.20E-01
-2.86E-04,-2.00E-02,8.00E-02
-2.86E-04,-2.00E-02,8.00E-02
-2.85E-04,-4.00E-02,0
-2.85E-04,-2.00E-02,4.00E-02
-2.85E-04,-2.00E-02,4.00E-02
-2.85E-04,-2.00E-02,8.00E-02
-2.85E-04,-4.00E-02,4.00E-02
-2.84E-04,-4.00E-02,4.00E-02
-2.84E-04,-2.00E-02,4.00E-02
-2.84E-04,-6.00E-02,0
-2.84E-04,-4.00E-02,4.00E-02
-2.84E-04,0,4.00E-02
-2.83E-04,-2.00E-02,4.00E-02
-2.83E-04,-4.00E-02,4.00E-02
-2.83E-04,-2.00E-02,4.00E-02
-2.83E-04,-2.00E-02,4.00E-02
-2.83E-04,-2.00E-02,4.00E-02
-2.82E-04,-2.00E-02,4.00E-02
-2.82E-04,-2.00E-02,0
-2.82E-04,-2.00E-02,8.00E-02
-2.82E-04,-4.00E-02,4.00E-02
-2.82E-04,-2.00E-02,0
-2.81E-04,-2.00E-02,4.00E-02
-2.81E-04,-2.00E-02,0
-2.81E-04,-2.00E-02,4.00E-02
-2.81E-04,-2.00E-02,0
-2.81E-04,-2.00E-02,0
-2.80E-04,-4.00E-02,0
-2.80E-04,-2.00E-02,4.00E-02
-2.80E-04,-4.00E-02,0
-2.80E-04,-2.00E-02,-4.00E-02
-2.80E-04,0,0
-2.79E-04,0,0
-2.79E-04,-4.00E-02,0
-2.79E-04,-2.00E-02,4.00E-02
-2.79E-04,0,4.00E-02
-2.79E-04,-2.00E-02,0
-2.78E-04,-2.00E-02,-4.00E-02
-2.78E-04,-2.00E-02,-4.00E-02
-2.78E-04,0,-4.00E-02
-2.78E-04,-2.00E-02,0
-2.78E-04,-2.00E-02,0
-2.77E-04,-4.00E-02,-4.00E-02
-2.77E-04,-2.00E-02,4.00E-02
-2.77E-04,-2.00E-02,-4.00E-02
-2.77E-04,-2.00E-02,0
-2.77E-04,-2.00E-02,0
-2.76E-04,-2.00E-02,0
-2.76E-04,-4.00E-02,8.00E-02
-2.76E-04,-2.00E-02,0
-2.76E-04,0,1.6799999
-2.76E-04,-4.00E-02,3.39999986
-2.75E-04,0,2.83999991
-2.75E-04,-2.00E-02,2.96000004
-2.75E-04,-2.00E-02,2.91999984
-2.75E-04,-4.00E-02,2.91999984
-2.75E-04,-2.00E-02,2.91999984
-2.74E-04,-4.00E-02,2.91999984
-2.74E-04,-4.00E-02,2.91999984
-2.74E-04,-4.00E-02,2.91999984
-2.74E-04,-8.00E-02,3
-2.74E-04,-4.00E-02,2.91999984
-2.73E-04,-4.00E-02,2.91999984
-2.73E-04,-2.00E-02,2.96000004
-2.73E-04,-4.00E-02,2.91999984
-2.73E-04,-2.00E-02,2.96000004
-2.73E-04,-2.00E-02,2.91999984
-2.72E-04,0,2.96000004
-2.72E-04,-4.00E-02,2.96000004
-2.72E-04,-2.00E-02,2.96000004
-2.72E-04,-2.00E-02,2.96000004
-2.72E-04,-2.00E-02,2.96000004
