-5.76E-04,-2.00E-02,-4.00E-02
-5.76E-04,0,-4.00E-02
-5.75E-04,-2.00E-02,0
-5.75E-04,-2.00E-02,-4.00E-02
-5.74E-04,-2.00E-02,-8.00E-02
-5.74E-04,-2.00E-02,-4.00E-02
-5.74E-04,-2.00E-02,-8.00E-02
-5.73E-04,0,-8.00E-02
-5.73E-04,0,-4.00E-02
-5.72E-04,-2.00E-02,-4.00E-02
-5.72E-04,-2.00E-02,-8.00E-02
-5.72E-04,-4.00E-02,-4.00E-02
-5.71E-04,0,0
-5.71E-04,-2.00E-02,-8.00E-02
-5.70E-04,0,-8.00E-02
-5.70E-04,-2.00E-02,-4.00E-02
-5.70E-04,-2.00E-02,0
-5.69E-04,-4.00E-02,4.00E-02
-5.69E-04,-4.00E-02,0
-5.68E-04,-2.00E-02,-4.00E-02
-5.68E-04,-2.00E-02,-4.00E-02
-5.68E-04,-4.00E-02,0
-5.67E-04,0,-4.00E-02
-5.67E-04,-2.00E-02,-4.00E-02
-5.66E-04,-2.00E-02,0
-5.66E-04,-4.00E-02,-4.00E-02
-5.66E-04,-2.00E-02,-4.00E-02
-5.65E-04,-2.00E-02,0
-5.65E-04,-4.00E-02,-4.00E-02
-5.64E-04,-4.00E-02,0
-5.64E-04,-2.00E-02,0
-5.64E-04,-2.00E-02,0
-5.63E-04,-2.00E-02,-4.00E-02
-5.63E-04,-2.00E-02,-4.00E-02
-5.62E-04,-4.00E-02,0
-5.62E-04,-4.00E-02,-4.00E-02
-5.62E-04,0,0
-5.61E-04,-4.00E-02,0
-5.61E-04,-2.00E-02,0
-5.60E-04,0,0
-5.60E-04,-2.00E-02,-4.00E-02
-5.60E-04,-4.00E-02,4.00E-02
-5.59E-04,0,-8.00E-02
-5.59E-04,-4.00E-02,0
-5.58E-04,-2.00E-02,-8.00E-02
-5.58E-04,-2.00E-02,0
-5.58E-04,-4.00E-02,-4.00E-02
-5.57E-04,0,0
-5.57E-04,-2.00E-02,-4.00E-02
-5.56E-04,-2.00E-02,0
-5.56E-04,-2.00E-02,0
-5.56E-04,-2.00E-02,0
-5.55E-04,-2.00E-02,0
-5.55E-04,-4.00E-02,0
-5.54E-04,-4.00E-02,0
-5.54E-04,-2.00E-02,-4.00E-02
-5.54E-04,0,0
-5.53E-04,-2.00E-02,0
-5.53E-04,-2.00E-02,0
-5.52E-04,-4.00E-02,0
-5.52E-04,-2.00E-02,-4.00E-02
-5.52E-04,-4.00E-02,4.00E-02
-5.51E-04,-4.00E-02,0
-5.51E-04,-2.00E-02,4.00E-02
-5.50E-04,-6.00E-02,4.00E-02
-5.50E-04,-2.00E-02,0
-5.50E-04,-4.00E-02,4.00E-02
-5.49E-04,-2.00E-02,4.00E-02
