Record Length,2500,Points,-302.00000037E-6,-39.99999911E-3,,Record Length,2500,Points,-302.00000037E-6,0.0,
Sample Interval,200.00000234E-9,s,-301.79999885E-6,19.9999996E-3,,Sample Interval,200.00000234E-9,s,-301.79999885E-6,39.99999911E-3,
Trigger Point,1.5100001E3,Samples,-301.59999733E-6,-19.9999996E-3,,Trigger Point,1.5100001E3,Samples,-301.59999733E-6,-39.99999911E-3,
,,,-301.39999581E-6,-19.9999996E-3,,,,,-301.39999581E-6,0.0,
,,,-301.19999428E-6,-19.9999996E-3,,,,,-301.19999428E-6,39.99999911E-3,
,,,-300.99999276E-6,-19.9999996E-3,,,,,-300.99999276E-6,0.0,
Source,CH1,,-300.79999124E-6,-59.999998659E-3,,Source,CH2,,-300.79999124E-6,0.0,
Vertical Units,Volts,,-300.59998971E-6,-19.9999996E-3,,Vertical Units,Volts,,-300.59998971E-6,-39.99999911E-3,
Vertical Scale,499.999988824E-3,,-300.39998819E-6,-19.9999996E-3,,Vertical Scale,999.999977648E-3,,-300.39998819E-6,39.99999911E-3,
Vertical Offset,0,,-300.19998667E-6,0.0,,Vertical Offset,0,,-300.19998667E-6,0.0,
Horizontal Units,s,,-300.00001425E-6,-19.9999996E-3,,Horizontal Units,s,,-300.00001425E-6,39.99999911E-3,
Horizontal Scale,50.00000058E-6,,-299.80001273E-6,-19.9999996E-3,,Horizontal Scale,50.00000058E-6,,-299.80001273E-6,39.99999911E-3,
Pt Fmt,Y,,-299.60001120E-6,-19.9999996E-3,,Pt Fmt,Y,,-299.60001120E-6,39.99999911E-3,
Yzero,120.0000000E-3,,-299.40000968E-6,-19.9999996E-3,,Yzero,-1.4400000,,-299.40000968E-6,39.99999911E-3,
Probe Atten,1.000000,,-299.20000816E-6,-19.9999996E-3,,Probe Atten,1.000000,,-299.20000816E-6,-39.99999911E-3,
,,,-299.00000663E-6,-19.9999996E-3,,,,,-299.00000663E-6,-39.99999911E-3,
Note,TDS 1002B - 10:54:13 AM   3/2/2026,,-298.80000511E-6,-39.99999911E-3,,Note,TDS 1002B - 10:54:13 AM   3/2/2026,,-298.80000511E-6,0.0,
,,,-298.60000359E-6,19.9999996E-3,,,,,-298.60000359E-6,39.99999911E-3,
,,,-298.40000207E-6,-19.9999996E-3,,,,,-298.40000207E-6,39.99999911E-3,
,,,-298.20000054E-6,-39.99999911E-3,,,,,-298.20000054E-6,0.0,
,,,-297.99999902E-6,-39.99999911E-3,,,,,-297.99999902E-6,39.99999911E-3,
,,,-297.79999750E-6,-19.9999996E-3,,,,,-297.79999750E-6,39.99999911E-3,
,,,-297.59999597E-6,-19.9999996E-3,,,,,-297.59999597E-6,39.99999911E-3,
,,,-297.39999445E-6,-19.9999996E-3,,,,,-297.39999445E-6,0.0,
,,,-297.19999293E-6,-19.9999996E-3,,,,,-297.19999293E-6,0.0,
,,,-296.99999141E-6,-39.99999911E-3,,,,,-296.99999141E-6,39.99999911E-3,
,,,-296.79998988E-6,0.0,,,,,-296.79998988E-6,0.0,
,,,-296.59998836E-6,-39.99999911E-3,,,,,-296.59998836E-6,39.99999911E-3,
,,,-296.39998684E-6,0.0,,,,,-296.39998684E-6,39.99999911E-3,
,,,-296.20001442E-6,-19.9999996E-3,,,,,-296.20001442E-6,39.99999911E-3,
,,,-296.00001290E-6,-19.9999996E-3,,,,,-296.00001290E-6,79.999998212E-3,
,,,-295.80001137E-6,-19.9999996E-3,,,,,-295.80001137E-6,39.99999911E-3,
,,,-295.60000985E-6,-19.9999996E-3,,,,,-295.60000985E-6,0.0,
,,,-295.40000833E-6,0.0,,,,,-295.40000833E-6,79.999998212E-3,
,,,-295.20000680E-6,-19.9999996E-3,,,,,-295.20000680E-6,79.999998212E-3,
,,,-295.00000528E-6,-19.9999996E-3,,,,,-295.00000528E-6,39.99999911E-3,
,,,-294.80000376E-6,-19.9999996E-3,,,,,-294.80000376E-6,0.0,
,,,-294.60000223E-6,-19.9999996E-3,,,,,-294.60000223E-6,39.99999911E-3,
,,,-294.40000071E-6,-19.9999996E-3,,,,,-294.40000071E-6,39.99999911E-3,
,,,-294.19999919E-6,-59.999998659E-3,,,,,-294.19999919E-6,39.99999911E-3,
,,,-293.99999767E-6,0.0,,,,,-293.99999767E-6,79.999998212E-3,
,,,-293.79999614E-6,-19.9999996E-3,,,,,-293.79999614E-6,39.99999911E-3,
,,,-293.59999462E-6,-39.99999911E-3,,,,,-293.59999462E-6,39.99999911E-3,
,,,-293.39999310E-6,-39.99999911E-3,,,,,-293.39999310E-6,39.99999911E-3,
,,,-293.19999157E-6,-19.9999996E-3,,,,,-293.19999157E-6,39.99999911E-3,
,,,-292.99999005E-6,-39.99999911E-3,,,,,-292.99999005E-6,79.999998212E-3,
,,,-292.79998853E-6,-39.99999911E-3,,,,,-292.79998853E-6,39.99999911E-3,
,,,-292.59998701E-6,-19.9999996E-3,,,,,-292.59998701E-6,39.99999911E-3,
,,,-292.40001459E-6,0.0,,,,,-292.40001459E-6,39.99999911E-3,
,,,-292.20001306E-6,-19.9999996E-3,,,,,-292.20001306E-6,79.999998212E-3,
,,,-292.00001154E-6,-19.9999996E-3,,,,,-292.00001154E-6,79.999998212E-3,
,,,-291.80001002E-6,-19.9999996E-3,,,,,-291.80001002E-6,79.999998212E-3,
,,,-291.60000850E-6,-39.99999911E-3,,,,,-291.60000850E-6,119.9999973E-3,
,,,-291.40000697E-6,0.0,,,,,-291.40000697E-6,79.999998212E-3,
,,,-291.20000545E-6,-19.9999996E-3,,,,,-291.20000545E-6,79.999998212E-3,
,,,-291.00000393E-6,-39.99999911E-3,,,,,-291.00000393E-6,39.99999911E-3,
,,,-290.80000240E-6,0.0,,,,,-290.80000240E-6,119.9999973E-3,
,,,-290.60000088E-6,-19.9999996E-3,,,,,-290.60000088E-6,39.99999911E-3,
,,,-290.39999936E-6,-19.9999996E-3,,,,,-290.39999936E-6,79.999998212E-3,
,,,-290.19999783E-6,-39.99999911E-3,,,,,-290.19999783E-6,79.999998212E-3,
,,,-289.99999631E-6,-19.9999996E-3,,,,,-289.99999631E-6,119.9999973E-3,
,,,-289.79999479E-6,-39.99999911E-3,,,,,-289.79999479E-6,79.999998212E-3,
,,,-289.59999327E-6,-39.99999911E-3,,,,,-289.59999327E-6,79.999998212E-3,
,,,-289.39999174E-6,-59.999998659E-3,,,,,-289.39999174E-6,79.999998212E-3,
,,,-289.19999022E-6,-19.9999996E-3,,,,,-289.19999022E-6,119.9999973E-3,
,,,-288.99998870E-6,-39.99999911E-3,,,,,-288.99998870E-6,79.999998212E-3,
,,,-288.79998717E-6,-39.99999911E-3,,,,,-288.79998717E-6,79.999998212E-3,
,,,-288.60001476E-6,-19.9999996E-3,,,,,-288.60001476E-6,119.9999973E-3,
,,,-288.40001323E-6,-39.99999911E-3,,,,,-288.40001323E-6,39.99999911E-3,
,,,-288.20001171E-6,-19.9999996E-3,,,,,-288.20001171E-6,119.9999973E-3,
,,,-288.00001019E-6,0.0,,,,,-288.00001019E-6,79.999998212E-3,
,,,-287.80000866E-6,0.0,,,,,-287.80000866E-6,79.999998212E-3,
,,,-287.60000714E-6,-19.9999996E-3,,,,,-287.60000714E-6,39.99999911E-3,
,,,-287.40000562E-6,-19.9999996E-3,,,,,-287.40000562E-6,79.999998212E-3,
,,,-287.20000410E-6,-19.9999996E-3,,,,,-287.20000410E-6,39.99999911E-3,
,,,-287.00000257E-6,-19.9999996E-3,,,,,-287.00000257E-6,79.999998212E-3,
,,,-286.80000105E-6,-19.9999996E-3,,,,,-286.80000105E-6,79.999998212E-3,
,,,-286.59999953E-6,-19.9999996E-3,,,,,-286.59999953E-6,39.99999911E-3,
,,,-286.39999800E-6,-39.99999911E-3,,,,,-286.39999800E-6,79.999998212E-3,
,,,-286.19999648E-6,0.0,,,,,-286.19999648E-6,119.9999973E-3,
,,,-285.99999496E-6,-19.9999996E-3,,,,,-285.99999496E-6,119.9999973E-3,
